economist,influencedBy
Ludwig_von_Mises,Carl_Menger
Ludwig_von_Mises,Max_Weber
Ludwig_von_Mises,Frank_Fetter
Ludwig_von_Mises,Friedrich_von_Wieser
Ludwig_von_Mises,Edmund_Husserl
Ludwig_von_Mises,Eugen_von_Böhm-Bawerk
Ludwig_von_Mises,Jean-Baptiste_Say
Ludwig_von_Mises,Immanuel_Kant
Andreas_Freytag,Juergen_B._Donges
Andreas_Freytag,Walter_Eucken
Andreas_Freytag,Eugen_von_Böhm-Bawerk
Andreas_Freytag,Jan_Tinbergen
Andrei_Shleifer,Lawrence_Summers
Andrei_Shleifer,Milton_Friedman
Andrew_Metrick,Eric_Maskin
Andrew_Metrick,James_Tobin
Anis_Ahmad,Interdisciplinarity
Anis_Ahmad,Integration_of_Ethical_Values_in_Education
Anna_Schwartz,Milton_Friedman
Anthony_Downs,Joseph_Schumpeter
Anthony_Downs,Kenneth_Arrow
Anu_Muhammad,Karl_Marx
Anu_Muhammad,Lenin
Apostolos_Serletis,William_A._Barnett
Leland_B._Yeager,Friedrich_Hayek
Leland_B._Yeager,Murray_Rothbard
Leland_B._Yeager,Ludwig_von_Mises
Leonard_Read,Frédéric_Bastiat
Leonard_Read,Murray_Rothbard
Leonard_Read,Ludwig_von_Mises
Leonard_Read,Ayn_Rand
Leonard_Read,Albert_Jay_Nock
Leonard_Read,Henry_Hazlitt
Leonard_Read,Milton_Friedman
Leonard_Read,Friedrich_Hayek
Leonid_Hurwicz,Friedrich_Hayek
Leonid_Hurwicz,Tjalling_Koopmans
Leonid_Hurwicz,Jacob_Marschak
Lionel_Robbins,Ludwig_von_Mises
Lionel_Robbins,William_Stanley_Jevons
Lionel_Robbins,Philip_Wicksteed
Lionel_Robbins,Nathan_Isaacs
Lloyd_Best,W._Arthur_Lewis
Lorenz_von_Stein,Robert_von_Mohl
Lorenz_von_Stein,Benjamin_Constant
Lorenz_von_Stein,Henri_de_Saint-Simon
Lorenz_von_Stein,Charles_Fourier
Lorenz_von_Stein,Marquis_de_Condorcet
Lorenz_von_Stein,Jean_de_Sismondi
Lorenz_von_Stein,G._W._F._Hegel
Louis_Preston_Garrison,Pharmacoeconomics
Ludwig_Lachmann,Carl_Menger
Ludwig_Lachmann,Max_Weber
Ludwig_Lachmann,Friedrich_Hayek
Ludwig_Lachmann,G._L._S._Shackle
Ludwig_Lachmann,Ludwig_von_Mises
Ludwig_Lachmann,Alfred_Schütz
Luigi_Amoroso,Vilfredo_Pareto
Luigi_Pasinetti,Richard_Kahn
Luigi_Pasinetti,Piero_Sraffa
Luiz_Carlos_Bresser-Pereira,Max_Weber
Luiz_Carlos_Bresser-Pereira,Celso_Furtado
Luiz_Carlos_Bresser-Pereira,Nicholas_Kaldor
Luiz_Carlos_Bresser-Pereira,John_Kenneth_Galbraith
Luiz_Carlos_Bresser-Pereira,John_Maynard_Keynes
Luiz_Carlos_Bresser-Pereira,Karl_Marx
Léon_Walras,Adam_Smith
Léon_Walras,Étienne_Vacherot
Léon_Walras,Jean_Baptiste_Say
Léon_Walras,Augustin_Cournot
M._A._Oommen,Amartya_Sen
M._A._Oommen,Karl_Marx
Makoto_Itoh,Karl_Marx
Makoto_Itoh,Kozo_Uno
Silvio_Gesell,Theodor_Hertzka
Silvio_Gesell,Henry_George
Silvio_Gesell,Pierre_Joseph_Proudhon
Stan_Zin,Robert_Lucas_Jr.
Stan_Zin,David_K._Backus
Stan_Zin,Edward_C._Prescott
Stan_Zin,Thomas_J._Sargent
Stan_Zin,Larry_G._Epstein
Stan_Zin,Lars_Peter_Hansen
Stanley_Reiter,Kenneth_Arrow
Stephany_Griffith-Jones,Hyman_Minsky
Stephany_Griffith-Jones,Joseph_Stiglitz
Stephany_Griffith-Jones,James_Tobin
Stephany_Griffith-Jones,Charles_P._Kindleberger
Stephany_Griffith-Jones,John_Kenneth_Galbraith
Stephany_Griffith-Jones,John_Maynard_Keynes
Stephen_Hymer,Karl_Marx
Stephen_Marglin,Friedrich_Hayek
Stephen_Marglin,John_Maynard_Keynes
Stephen_Marglin,Karl_Marx
Stephen_Resnick,Louis_Althusser
Stephen_Resnick,Étienne_Balibar
Stephen_Resnick,Karl_Marx
Steve_Hanke,Robert_Mundell
Steve_Hanke,Ronald_Coase
Steve_Hanke,Friedrich_Hayek
Steve_Hanke,Milton_Friedman
Steve_Hanke,Peter_Thomas_Bauer
Steve_Hanke,Kenneth_Boulding
Steve_Keen,Richard_M._Goodwin
Steve_Keen,Hyman_Minsky
Steve_Keen,Joseph_Schumpeter
Steve_Keen,François_Quesnay
Steve_Keen,Thorstein_Veblen
Steve_Keen,Augusto_Graziani
Steve_Keen,Nicholas_Georgescu-Roegen
Steve_Keen,Irving_Fisher
Steve_Keen,John_Maynard_Keynes
Steve_Keen,Karl_Marx
Steve_Keen,Piero_Sraffa
Steve_Keen,Basil_Moore
Steven_Landsburg,Ronald_Coase
Steven_Levitt,Gary_Becker
Steven_Levitt,Kevin_M._Murphy
Steven_Levitt,Josh_Angrist
Steven_N._S._Cheung,Ronald_Coase
Steven_N._S._Cheung,Aaron_Director
Steven_N._S._Cheung,Adam_Smith
Steven_N._S._Cheung,Armen_Alchian
Steven_N._S._Cheung,Jack_Hirshleifer
Steven_N._S._Cheung,Milton_Friedman
Steven_Pressman,John_Kenneth_Galbraith
Steven_Pressman,John_Maynard_Keynes
Yves_Guyot,Gustave_de_Molinari
Zvi_Griliches,Arnold_Harberger
Éric_Pichet,Joseph_Schumpeter
Éric_Pichet,Paul_Feyerabend
Éric_Pichet,Maurice_Allais
Éric_Pichet,Sigmund_Freud
Éric_Pichet,Adam_Smith
Éric_Pichet,Pierre_Bourdieu
Éric_Pichet,Raymond_Barre
Éric_Pichet,Raymond_Boudon
Faye_Duchin,Wassily_Leontief
Franklin_Serrano,Pierangelo_Garegnani
Franklin_Serrano,Piero_Sraffa
František_Ladislav_Chleborád,Franz_Hermann_Schulze-Delitzsch
John_Maurice_Clark,Thorstein_Veblen
Pavlina_R._Tcherneva,Hyman_Minsky
Pavlina_R._Tcherneva,John_Maynard_Keynes
Pavlina_R._Tcherneva,Abba_P._Lerner
Ugo_Panizza,Barry_Eichengreen
Ugo_Panizza,Ricardo_Hausmann
Makoto_Yano,Ronald_W._Jones
Makoto_Yano,Lionel_W._McKenzie
Makoto_Yano,Takashi_Negishi
Mark_Gerard_Hayes,John_Maynard_Keynes
Maurice_Dobb,Karl_Marx
Max_Roser,Angus_Deaton
Max_Roser,Tony_Atkinson
Max_Roser,Amartya_Sen
Max_Roser,Hans_Rosling
Michael_Clemens,William_Easterly
Michael_Clemens,Lant_Pritchett
Michael_Clemens,Michael_Kremer
Axel_Leijonhufvud,Léon_Walras
Axel_Leijonhufvud,John_Maynard_Keynes
Axel_Ockenfels,Reinhard_Selten
Axel_Ockenfels,Alvin_E._Roth
Axel_Ockenfels,Joachim_Weimann
Bakul_Harshadrai_Dholakia,Mahatma_Gandhi
Bakul_Harshadrai_Dholakia,Swami_Vivekananda
Barbara_Bergmann,Gunnar_Myrdal
Bruce_L._Benson,David_D._Friedman
